年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,実数,偏差値
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,生活環境,自然景観,3.0,44.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,生活環境,自然の恵み,3.5,54.7
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,生活環境,環境共生,3.0,44.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,生活環境,自然災害,3.0,41.6
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,地域の人間関係,地域とのつながり,3.0,46.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,地域の人間関係,多様性と寛容性,2.7,51.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,自分らしい生き方,自己効力感,3.0,44.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,自分らしい生き方,健康状態,3.2,44.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,自分らしい生き方,文化・芸術,3.0,40.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,自分らしい生き方,教育機会の豊かさ,2.8,41.4
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,自分らしい生き方,雇用・所得,2.6,42.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",主観データ,自分らしい生き方,事業創造,2.6,43.6
